stock_code,company_name,ipo_date,doc_type,headline,url,resolved_from_htm_index,release_date,local_path,downloaded
02409,Seacon Shipping Group Holdings Limited,2023-03-29,stabilization,"Announcements and Notices - [Other - Miscellaneous] - STABILIZING ACTIONS, END OF STABILIZATION PERIOD AND LAPSE OF OVER-ALLOTMENT OPTION",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0416/2023041600007.pdf,,2023-04-16 18:07:00,pdfs/02409/stabilization_0.pdf,True
02433,Zhongtian Construction (Hunan) Group Limited,2023-03-30,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0320/2023032000005.pdf,,2023-03-20 06:08:00,pdfs/02433/prospectus_0.pdf,True
02433,Zhongtian Construction (Hunan) Group Limited,2023-03-30,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0320/10636538/2023032000013.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0320/2023032000008.htm,2023-03-20 06:12:00,pdfs/02433/prospectus_1.pdf,True
02433,Zhongtian Construction (Hunan) Group Limited,2023-03-30,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0320/2023032000077.pdf,,2023-03-20 06:14:00,pdfs/02433/prospectus_2.pdf,True
02433,Zhongtian Construction (Hunan) Group Limited,2023-03-30,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0329/10650645/2023032900044.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0329/2023032900042.htm,2023-03-29 06:26:00,pdfs/02433/allotment_0.pdf,True
02433,Zhongtian Construction (Hunan) Group Limited,2023-03-30,over_allotment_exercise,,,,,,False
02433,Zhongtian Construction (Hunan) Group Limited,2023-03-30,stabilization,"Announcements and Notices - [Other - Miscellaneous] - END OF STABILISATION PERIOD, NO STABILISING ACTION AND LAPSE OF THE OVER-ALLOTMENT OPTION",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0424/2023042400020.pdf,,2023-04-24 07:02:00,pdfs/02433/stabilization_0.pdf,True
02439,China Treasures New Materials Group Ltd.,2023-03-31,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0321/2023032100047.pdf,,2023-03-21 06:38:00,pdfs/02439/prospectus_0.pdf,True
02439,China Treasures New Materials Group Ltd.,2023-03-31,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0321/10638301/2023032100055.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0321/2023032100050.htm,2023-03-21 06:39:00,pdfs/02439/prospectus_1.pdf,True
02439,China Treasures New Materials Group Ltd.,2023-03-31,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0321/2023032100123.pdf,,2023-03-21 06:42:00,pdfs/02439/prospectus_2.pdf,True
02439,China Treasures New Materials Group Ltd.,2023-03-31,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0330/10653650/2023033000222.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0330/2023033000220.htm,2023-03-30 06:44:00,pdfs/02439/allotment_0.pdf,True
02439,China Treasures New Materials Group Ltd.,2023-03-31,over_allotment_exercise,,,,,,False
02439,China Treasures New Materials Group Ltd.,2023-03-31,stabilization,"Announcements and Notices - [Other - Miscellaneous] - END OF STABILISATION PERIOD, NO STABILISING ACTIONS AND LAPSE OF OVER-ALLOTMENT OPTION",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0424/2023042400062.pdf,,2023-04-24 08:00:00,pdfs/02439/stabilization_0.pdf,True
02405,Powerwin Tech Group Limited,2023-03-31,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0321/2023032100009.pdf,,2023-03-21 06:09:00,pdfs/02405/prospectus_0.pdf,True
02405,Powerwin Tech Group Limited,2023-03-31,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0321/2023032100011.pdf,,2023-03-21 06:12:00,pdfs/02405/prospectus_1.pdf,True
02405,Powerwin Tech Group Limited,2023-03-31,allotment,Announcements and Notices - [Allotment Results] - Announcement of Offer Price and Allotment Results,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0330/10653526/2023033000100.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0330/2023033000098.htm,2023-03-30 06:23:00,pdfs/02405/allotment_0.pdf,True
02405,Powerwin Tech Group Limited,2023-03-31,over_allotment_exercise,,,,,,False
02405,Powerwin Tech Group Limited,2023-03-31,stabilization,"Announcements and Notices - [Other - Miscellaneous] - END OF STABILIZATION PERIOD, NO STABILIZING ACTION AND LAPSE OF THE OVER-ALLOTMENT OPTION",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0423/2023042300029.pdf,,2023-04-23 18:16:00,pdfs/02405/stabilization_0.pdf,True
09669,Beisen Holding Limited,2023-04-13,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0330/2023033000235.pdf,,2023-03-30 06:44:00,pdfs/09669/prospectus_0.pdf,True
09669,Beisen Holding Limited,2023-04-13,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0330/10653744/2023033000329.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0330/2023033000324.htm,2023-03-30 07:06:00,pdfs/09669/prospectus_1.pdf,True
09669,Beisen Holding Limited,2023-04-13,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0330/2023033000397.pdf,,2023-03-30 07:11:00,pdfs/09669/prospectus_2.pdf,True
09669,Beisen Holding Limited,2023-04-13,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0412/10684679/2023041200012.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0412/2023041200010.htm,2023-04-12 06:22:00,pdfs/09669/allotment_0.pdf,True
09669,Beisen Holding Limited,2023-04-13,over_allotment_exercise,,,,,,False
